topic,stance,argument,argument_sentiment
subsidize poor communities,PRO,Governmental redistribution of wealth improves social stability,1.0
advertising,PRO,Children are not capable of resisting or understanding marketing tactics,-1.0
democratization,CON,democracy leads to chaos,-1.0
the one-child policy of the republic of China,PRO,"overpopulation has been blamed for a variety of issues, including increasing poverty",-1.0
unleash the free market,PRO,the world can produce and consume more when free trade is allowed,1.0
the right to bear arms,CON,the right to bear arms is absolute and unqualified,1.0
subsidize poor communities,PRO,Subsidies guarantee access to essential commodities at prices that consumers can afford,1.0
the right to bear arms,CON,the Second Amendment guarantees an individual's right to own a firearm,1.0
the use of affirmative action,CON,The identification of oppressed classes is difficult to carry out,-1.0
gambling,PRO,electronic funds transfers inherent in online gambling are being exploited by criminal interests,-1.0
unleash the free market,CON,the allocation of goods and services by a free market is not efficient,-1.0
unleash the free market,PRO,That government is best which governs not at all,
the sale of violent video games to minors,CON,No evidence links video games to youth violence,1.0
wind power,PRO,Producing electricity from wind reduces the consumption of fossil fuels and therefore leads to emissions savings,1.0
wind power,CON,An important limiting factor of wind power is variable power generated by wind farms,-1.0
democratization,CON,"The new establishment of democratic institutions in countries where the associated practices have as yet been uncommon or deemed culturally unacceptable, can result in institutions, that are not sustainable in the long term",-1.0
all nations have a right to nuclear weapons,PRO,"the present situation whereby Nuclear Weapon States monopolise the right to possess nuclear weapons is ""highly discriminatory",-1.0
atheism,PRO,God and other religious beliefs are human inventions,-1.0
advertising,PRO,"Advertisements take something that exists already in the world and they change it, forming a distorted reflection",-1.0
governments should choose open source software,PRO,FOSS applications often provide high levels of functionality with good user acceptance,1.0
the use of affirmative action,CON,Affirmative action policies increase animosity toward preferred groups,-1.0
the sale of violent video games to minors,PRO,Some serious psychological problems have been attributed to desensitization to violence in video games,-1.0
intellectual property rights,CON,"when a patent's term has expired, the public record ensures that the patentee's idea is not lost to humanity",1.0
the blockade of Gaza,PRO,The limited trickle of items into Gaza force the counter-productive reliance on tunnels for daily essentials,-1.0
intellectual property rights,CON,The present system of strong copyrights has been largely successful in financing the creation and distribution of a wide variety of works,1.0
the one-child policy of the republic of China,CON,The policy leaves the older generations with increased chances of dependency on retirement funds or charity in order to receive support,-1.0
partial birth abortions,PRO,A partial-birth abortion bears no relevance to any measure needed to advance the health of any woman,-1.0
atheism,CON,existence must be due to an agent cause,1.0
subsidize poor communities,PRO,economic equality is necessary for political freedom,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel's right to self-defence is recognized,1.0
the right to bear arms,CON,no rights should ever be allowed to be taken away by the government,
advertising,PRO,any kind of marketing is inherently evil,-1.0
the blockade of Gaza,PRO,Humanity cannot continue allowing a city to be slowly strangled,-1.0
Israel's 2008-2009 military operations against Gaza,CON,it was a war against Palestinian civilians,-1.0
all nations have a right to nuclear weapons,PRO,"when two countries each have nuclear weapons, the probability of a direct war between them greatly decreases",1.0
the monarchy,CON,monarchy is an impetus for significantly greater national income from tourism,1.0
the monarchy,PRO,A monarchy demands deference,-1.0
intellectual property rights,PRO,IP can be a disincentive to innovation,-1.0
the monarchy,PRO,Monarchical prerogative powers can be used to circumvent normal democratic process with no accountability,-1.0
unleash the free market,PRO,government intervention is the cause of economic crises,-1.0
the use of affirmative action,CON,Affirmative action undermines the achievements of minorities,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israeli military attacks were launched in response to militants firing missiles,1.0
the blockade of Gaza,PRO,"the ""limited trickle"" of items into Gaza continue the effective collective punishment of the civilian population",-1.0
barrier methods of contraception,CON,The use of condoms is encouraged to prevent transmission of HIV,1.0
gambling,PRO,"gambling, like any behavior which involves variation in brain chemistry, can become a psychologically addictive and harmful behavior",-1.0
freedom of speech,CON,The free communication of thoughts and of opinions is one of the most precious rights of man,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel's right to protect its citizens is recognised,1.0
only teach abstinence for sex education in schools,CON,abstinence-only sex education leads to the opposite of the intended results by spreading ignorance regarding sexually transmitted diseases and the proper use of contraceptives,-1.0
unleash the free market,PRO,"in an environment of laissez-faire, a spontaneous order of cooperation in exchanging goods and services emerges that satisfies human wants",1.0
endangered species,PRO,Biodiversity has been critical to advances throughout the field of bionics,1.0
the use of affirmative action,CON,"affirmative action is ""reverse discrimination",-1.0
atheism,PRO,God and evil are logically incompatible,
freedom of speech,PRO,human rights can be limited or even pushed aside during times of national emergency,-1.0
endangered species,PRO,nature does not exist simply to be used or consumed by humans,
unleash the free market,CON,"grave imbalances are produced when economic action, conceived merely as an engine for wealth creation, is detached from political action",-1.0
multiculturalism,CON,Multiculturalism is considered to be dangerous to the West,-1.0
governments should choose open source software,PRO,Proprietary software forces the user to accept the level of security that the software vendor is willing to deliver,-1.0
build hydroelectric dams,PRO,The benefits of the dams are not only limited to hydropower,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel has the right to take military action against attacks on locations where its civilians live,1.0
the one-child policy of the republic of China,CON,Control over reproduction is a basic need and a basic right for all women,
partial birth abortions,PRO,abortion has negative effects on society,-1.0
democratization,CON,democracy is ineffective in preventing war,-1.0
have children,PRO,many species are threatened by the increasing human population,-1.0
unleash the free market,CON,The unregulated market is seen as an impractical ideal,-1.0
only teach abstinence for sex education in schools,CON,excessive repression of the sexual instinct leads to an increase in the overall level of aggression in a given society,-1.0
wind power,PRO,There is very little emission or pollution produced by a wind farm's operation,1.0
wind power,PRO,Renewable energy is sustainable in its production,1.0
atheism,CON,the theism of people throughout most of recorded history and in many different places provides prima facie demonstration of God's existence,1.0
atheism,PRO,Religions teachings are outdated in comparison with modern Western morals,-1.0
build hydroelectric dams,PRO,"Once a hydroelectric complex is constructed, the project produces no direct waste",1.0
wind power,CON,predictability of wind plant output remains low,-1.0
endangered species,PRO,All life has intrinsic value,1.0
democratization,PRO,democracies tend to be wealthier than other countries,1.0
freedom of speech,CON,The individual freedom of expression is essential to the well-being of society,1.0
advertising,PRO,advertising directed at young children is per se manipulative,-1.0
freedom of speech,CON,the individual must have unlimited access to the ideas of his fellow men in “a free and open encounter,1.0
freedom of speech,PRO,a limitation on freedom of speech prescribed in law can be permitted if it can be justified as being a reasonable limit,1.0
governments should choose open source software,PRO,A major advantage to open source code is the ability for a variety of different people to edit and fix problems and errors that have occurred,1.0
freedom of speech,CON,Freedom of expression is the lifeblood of any free and open society,1.0
multiculturalism,CON,Multiculturalism can not be allowed to create a society where all values are equal,
unleash the free market,PRO,Free trade promotes peace,1.0
have children,PRO,Voluntary human extinction will prevent human suffering and the extinction of other species,1.0
Israel's 2008-2009 military operations against Gaza,PRO,"Israel was ""compelled to continue to take these defensive measures"" to protect more than 200,000 Israelis living under the threat of Palestinian rocket barrages.Militants",1.0
multiculturalism,CON,"the more racially diverse a community is, the greater the loss of trust",-1.0
the monarchy,PRO,The system of monarchy since antiquity has contrasted with forms of democracy,-1.0
the one-child policy of the republic of China,PRO,The policy had proved remarkably effective,1.0
build hydroelectric dams,PRO,Hydropower is an extremely flexible technology,1.0
endangered species,PRO,The loss of native species is seen as a loss to ecotourism,-1.0
have children,PRO,the standard of human life will worsen if resources are consumed by a growing population,-1.0
build hydroelectric dams,PRO,Investing in renewable energy can have significant dividends for our energy security,1.0
wind power,CON,wind power is dependent on weather systems,-1.0
the right to bear arms,CON,Americans have an individual right described in the Second Amendment to possess firearms,1.0
unleash the free market,PRO,free markets are the only ethical markets,1.0
democratization,CON,the benefits of a specialised society may be compromised by democracy,-1.0
wind power,PRO,A modern wind farm has one of the lowest environmental impacts of all energy sources,1.0
multiculturalism,CON,immigrants must always lose their own culture - that is the price of immigration,
multiculturalism,PRO,promotion and maintenance of cultural diversity are an essential requirement for sustainable development,1.0
build hydroelectric dams,CON,Dam failures are generally catastrophic,-1.0
advertising,PRO,the long standing notion of separation between advertising and editorial/creative sides of media is rapidly crumbling,
gambling,PRO,The social costs of gambling to society are varied,-1.0
democratization,CON,democracy cannot subsist long nor be carried far into the departments of state,-1.0
advertising,PRO,With increasing force advertising makes itself comfortable in the private sphere so that the voice of commerce becomes the dominant way of expression in society,-1.0
partial birth abortions,PRO,"Abortion, which would involve the deliberate destruction of life, should be rejected",-1.0
wind power,PRO,Wind power is a product with no hidden costs and economically the most inexpensive form of energy production,1.0
barrier methods of contraception,PRO,"since artificial contraception expressly prevents the creation of a new life (and, the Church would argue, removes the sovereignty of God over all of Creation), contraception is unacceptable",-1.0
freedom of speech,PRO,the freely expressed word can be a direct threat to other human rights,-1.0
the sale of violent video games to minors,CON,Biological theories of aggression and violence have specifically excluded video game and other media effects,1.0
the use of affirmative action,CON,Affirmative action creates a cult of victimization,-1.0
atheism,PRO,all attempts to reconcile faith with science and reason are consigned to failure,-1.0
gambling,PRO,Addicted gamblers cost companies loss of productivity and profit,-1.0
atheism,CON,God's existence can be demonstrated,1.0
the right to bear arms,CON,gun possession is a fundamental civil right,1.0
gambling,CON,The lotteries proved very popular and were hailed as a painless form of taxation,1.0
build hydroelectric dams,PRO,threats to our old energy systems provide a rationale for investing in renewable energy,1.0
all nations have a right to nuclear weapons,CON,a nuclear nation might be hijacked by a despot or other person or persons who might use nuclear weapons without sane regard for the consequences,-1.0
build hydroelectric dams,CON,The number of sites that can be economically developed for hydroelectric production is limited,-1.0
unleash the free market,CON,it may be possible for a government to improve the inefficient market outcome,
unleash the free market,PRO,Any government intervention is seen as useless,-1.0
wind power,PRO,wind power does not pose a threat to people or the environment,1.0
atheism,PRO,religion does more harm than good,-1.0
democratization,PRO,The democratic system provides a way to replace inefficient leaders and policies,1.0
barrier methods of contraception,PRO,permitting condom use as a method of preventing disease could be interpreted as permitting fornication,-1.0
have children,CON,having children is frequently viewed as a measure of success,1.0
the use of affirmative action,CON,Affirmative action policies demonstrate an overt preference for applicants from particular backgrounds over better-qualified (or equally-qualified) candidates from other backgrounds,-1.0
atheism,CON,Atheism has been criticized as a faith in itself,-1.0
endangered species,PRO,biodiversity is inherently valuable,1.0
build hydroelectric dams,CON,"Dams can severely reduce the amount of water reaching countries downstream of them, causing water stress between the countries",-1.0
build hydroelectric dams,CON,People would have to be resettled to make room for dams and reservoirs,-1.0
the one-child policy of the republic of China,CON,implementation of the policy has involved forced abortions and forced sterilization,-1.0
multiculturalism,PRO,diversity brings progress and social cohesion,1.0
the blockade of Gaza,PRO,The Gaza blockade inflicted excessive damage to the civilian population in relation to the concrete military advantage expected,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel's right to self defence was acknowledged,1.0
the use of affirmative action,PRO,Motivation for affirmative action policies is to redress the effects of past discrimination,1.0
unleash the free market,PRO,That government is best which governs least,
democratization,CON,democracy cannot be imposed from outside,
gambling,PRO,Internet gambling is a growing problem for banks and credit card companies,-1.0
build hydroelectric dams,PRO,Hydroelectricity eliminates the flue gas emissions from fossil fuel combustion,1.0
the monarchy,PRO,monarchs are not impartial,-1.0
the monarchy,CON,monarch may have strictly ceremonial duties,
subsidize poor communities,PRO,economic inequality invariably translates to political inequality,-1.0
governments should choose open source software,PRO,"Innovations have come, and continue to come, from the open-source world",1.0
unleash the free market,CON,free trade is a form of colonialism or imperialism,-1.0
build hydroelectric dams,CON,Dam failures can cause immense damage and loss of life,-1.0
intellectual property rights,PRO,Copyright law is seen as preventing or slowing human progress,-1.0
the right to bear arms,PRO,There are significant correlations between gun ownership and gun-related suicide and homicide rates,-1.0
freedom of speech,PRO,"Reasonable restrictions can be imposed on the freedom of speech and expression, in the interest of the security of the State",
multiculturalism,CON,"multiculturalism has shifted from tolerating multiple cultures to tolerating multiple value systems, which can be hostile to liberalism",-1.0
the use of affirmative action,PRO,the principle of equality sometimes requires States parties to take affirmative action in order to diminish or eliminate conditions which cause or help to perpetuate discrimination prohibited by the Covenant,1.0
the blockade of Gaza,PRO,Peace and stability will not come to the region as long as the blockade of Gaza persists,-1.0
have children,PRO,the best thing for a man is not to be born,1.0
the one-child policy of the republic of China,PRO,"As a result of the one child policy, China successfully achieved its goal of a more stable and much-reduced fertility rate",1.0
all nations have a right to nuclear weapons,CON,"with nuclear weapons more widely available, deterrence is decreasingly effective and increasingly hazardous",-1.0
build hydroelectric dams,PRO,"hydro harnesses the natural energy of water and gravity, eliminating the need to burn coal or natural gas",1.0
subsidize poor communities,PRO,"Safety nets redistribute income to the poorest and most vulnerable, with an immediate impact on poverty",1.0
the use of affirmative action,CON,attempts at antidiscrimination have been criticized as reverse discrimination,-1.0
build hydroelectric dams,CON,Dam construction often leads to abuses of the masses by planners,-1.0
Israel's 2008-2009 military operations against Gaza,CON,"disproportionate destruction and violence against civilians were part of a deliberate policy"" by Israel",-1.0
governments should choose open source software,PRO,"proprietary software commonly contains ""malicious features",-1.0
the right to bear arms,CON,Laws that forbid the carrying of arms make things worse for the assaulted and better for the assailants,-1.0
the right to bear arms,PRO,fewer restrictions on handguns will result in increasing numbers of injuries and deaths,-1.0
the monarchy,PRO,The monarchy remains a symbol of imperialism and colonialism,-1.0
the use of affirmative action,PRO,States must take measures to seek to eliminate prejudices,1.0
wind power,PRO,The total amount of available power from the wind is considerably more than present human power use from all sources,1.0
all nations have a right to nuclear weapons,PRO,The effective prohibition on nuclear proliferation has been characterised as a form of technological apartheid,-1.0
the one-child policy of the republic of China,CON,only children have aversive social skills,-1.0
all nations have a right to nuclear weapons,CON,"The world is now in a new and dangerous nuclear era, and the likelihood that non-state terrorists will get their hands on nuclear weaponry is increasing",
wind power,CON,Wind power is an intermittent energy source,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,life in much of southern Israel was paralyzed by Hamas rocket and mortar fire,-1.0
atheism,PRO,Religions have promoted facts and histories that are contradicted by science,-1.0
build hydroelectric dams,CON,Dams are tempting industrial targets for wartime attack,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Hamas started the conflict by firing rockets on Israel,-1.0
build hydroelectric dams,CON,Dam failures have been some of the largest man-made disasters in history,-1.0
atheism,PRO,The evidence allegedly proving the existence of God is insufficient,-1.0
the blockade of Gaza,PRO,tragedies are entirely avoidable if Israel heeds the repeated calls of the international community to end its counterproductive and unacceptable blockade of Gaza,-1.0
the right to bear arms,CON,an armed citizenry is the population's last line of defense against tyranny by their own government,1.0
unleash the free market,PRO,Free markets are the most productive markets,1.0
atheism,PRO,the idea of God implies the abdication of human reason and justice,-1.0
the right to bear arms,CON,more guns can reduce crime,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel's right to defend itself against attacks from Gaza is recognised,1.0
democratization,CON,democracies are inefficient,-1.0
the one-child policy of the republic of China,CON,"higher population density leads to more specialization and technological innovation, which in turn leads to a higher standard of living",1.0
only teach abstinence for sex education in schools,PRO,Abstinence-only education will result in decreased rates of teenage pregnancy and STD infection,1.0
the use of affirmative action,PRO,Race-conscious affirmative action remains necessary to address race-based obstacles,1.0
democratization,PRO,Good education is present in allmost all emeging democracies,1.0
the blockade of Gaza,PRO,Humanitarian goods and people must flow in both directions,
multiculturalism,PRO,multiculturalism is a tool for instilling students with pride and confidence in their unique and special backgrounds,1.0
subsidize poor communities,PRO,CCT Programs are efficient tools for reducing poverty and inequality,1.0
partial birth abortions,CON,it should be illegal for governments to regulate abortion,-1.0
multiculturalism,CON,The idea of multiculturalism had reached the end of its useful life,-1.0
gambling,PRO,"As a result of gambling, some are driven to extreme lengths to cover debt",-1.0
the right to bear arms,CON,criminals ignore gun control laws,-1.0
only teach abstinence for sex education in schools,CON,abstinence only sex education is ineffective,-1.0
unleash the free market,CON,customers desire protection from market power when competition is non-existent or ineffective,1.0
atheism,PRO,the human race no longer needs religion,-1.0
unleash the free market,PRO,a market economy prevents long-term surpluses,-1.0
the use of affirmative action,CON,jobs should go to those “most qualified,1.0
intellectual property rights,PRO,the very concept of copyright has never benefited society,-1.0
unleash the free market,PRO,government intervention creates more problems than it is supposed to solve,-1.0
the use of affirmative action,PRO,Affirmative action policies redress imbalances and promote equality,1.0
build hydroelectric dams,CON,hydro dams and transmission lines have significant effects on water and biodiversity,-1.0
multiculturalism,CON,Multiculturalism tends to emphasize the rights of ethnic minorities at the expense of the majority,-1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel's UAV attacks were a violation of International Humanitarian Law,-1.0
build hydroelectric dams,PRO,The major advantage of hydroelectric systems is the elimination of the cost of fuel,1.0
multiculturalism,PRO,"the diversity of cultural expressions is a ""rich asset for individuals and societies",1.0
gambling,PRO,Gamblers may suffer from depression and bankruptcy,-1.0
unleash the free market,PRO,unfettered markets maximize individual freedom,1.0
only teach abstinence for sex education in schools,CON,abstinence-only sex ed and conservative moralizing will only alienate students,-1.0
advertising,PRO,The steady normalization of invasive advertising dulls the public’s perception of their surroundings,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,The rocket attacks have caused widespread fear and hardship in Israeli border towns,-1.0
unleash the free market,PRO,Markets would lead to equality,1.0
freedom of speech,PRO,the right to freedom of speech can be subjected to limitations such as hate speech,-1.0
the use of affirmative action,CON,Affirmative action may increase racial tension and benefit the more privileged people within minority groups at the expense of the least fortunate within majority groups,-1.0
have children,CON,Choosing to be childfree is both difficult and undesirable,-1.0
multiculturalism,CON,official multiculturalism limits the freedom of minority members,-1.0
the monarchy,PRO,"the people', not the members of one family, should be sovereign",
all nations have a right to nuclear weapons,CON,reliance on nuclear weapons for deterrence is becoming increasingly hazardous and decreasingly effective,-1.0
advertising,PRO,Advertisers find ways to deceive consumers,-1.0
the monarchy,CON,The principal advantage of hereditary monarchy is the immediate continuity of leadership,1.0
wind power,CON,Many find wind turbines to not be very aesthetically pleasing and consider them to be an eyesore,-1.0
atheism,CON,"there was a ""first cause"", or ""prime mover"" who is identified as God",1.0
partial birth abortions,CON,the right of personal privacy includes the abortion decision,1.0
subsidize poor communities,PRO,welfare empowers individuals,1.0
unleash the free market,PRO,corrective measures) reduce the overall efficiency of the market economy,-1.0
the right to bear arms,CON,The prohibition of an effective means of self defense is considered to be unethical,-1.0
Israel's 2008-2009 military operations against Gaza,CON,"the disproportionate use of force by Israel, which causes suffering to the civilian population, can be neither understood nor justified",-1.0
build hydroelectric dams,PRO,Many dams are multi-purpose dams,1.0
the sale of violent video games to minors,PRO,"video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder",-1.0
endangered species,PRO,People who live close to nature can be dependent on the survival of all the species in their environment,1.0
multiculturalism,PRO,cultural diversity is as necessary for humankind as biodiversity is for nature,1.0
build hydroelectric dams,CON,Large hydroelectric power plants flooding immense forest areas emit large amounts of methane to the atmosphere,-1.0
only teach abstinence for sex education in schools,CON,"abstinence-only education is motivated by religious teachings, which have no place in the classroom",-1.0
subsidize poor communities,CON,Redistributive policies have an adverse effect on investment and economic growth,-1.0
atheism,PRO,The existences of a god and of evil are logically incompatible,-1.0
governments should choose open source software,PRO,FOSS applications tend to be much lower in cost than their proprietary equivalents,1.0
unleash the free market,CON,free markets usually fail to deal with the problem of externalities,-1.0
governments should choose open source software,CON,One of the greatest barriers facing wide acceptance of open-source software relates to the lack of technical and general support,-1.0
unleash the free market,PRO,Central economic planning leads towards totalitarianism,-1.0
barrier methods of contraception,CON,The majority of HIV infections are acquired through unprotected sexual relations between partners,-1.0
only teach abstinence for sex education in schools,CON,"The lack of education on safe sex, whether it’s from parents, schools, or otherwise, is a cause of teenage pregnancy",-1.0
the right to bear arms,PRO,increased gun ownership leads to higher levels of crime,-1.0
the blockade of Gaza,CON,"the blockade of the Gaza Strip [among other security and deterrence measures], have brought about a quiet",1.0
barrier methods of contraception,PRO,Condoms may interfere with the process of paternal tolerance,-1.0
have children,PRO,one may generally wish to spare a potential child from the suffering of life,1.0
the use of affirmative action,CON,"social inequality today is due to ""cultural deficits"" of individual people or racial or ethnic groups",-1.0
unleash the free market,PRO,private market factors can more efficiently deliver many goods or service than governments due to free market competition,1.0
intellectual property rights,PRO,the patent monopoly..consists in protecting inventors..against competition for a period long enough to extort from the people a reward enormously in excess of the labor measure of their services,-1.0
unleash the free market,PRO,"market economies allow spontaneous order; that is, ""a more efficient allocation of societal resources than any design could achieve",1.0
multiculturalism,CON,Multiculturalism threatens social cohesion,-1.0
gambling,PRO,nearly all the western states' governments outlawed gambling,-1.0
unleash the free market,CON,wages are naturally driven down in free market systems,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,the IDF was forced to deal with the lowest form of terrorists,1.0
barrier methods of contraception,PRO,"promotion of condom use will lead to irresponsible, risky sexual behavior",-1.0
partial birth abortions,CON,any decision should be left up to the woman within whose body the fetus is growing,
Israel's 2008-2009 military operations against Gaza,PRO,The Hamas terror organization is the one who started the war,-1.0
partial birth abortions,PRO,abortion involves unjust discrimination against the unborn,-1.0
partial birth abortions,CON,D&X would be safer and would involve fewer risks for the women,1.0
partial birth abortions,CON,the law should not criminalize just exercises of the right to control one’s own body,1.0
barrier methods of contraception,CON,Condoms are widely recommended for the prevention of sexually transmitted diseases,1.0
wind power,CON,the unpredictable intervals of near-zero output render windpower unsuitable as a base generating capacity,-1.0
the blockade of Gaza,PRO,The blockade amounts to a flagrant contravention of international human rights and humanitarian law,-1.0
democratization,PRO,democracy can help to build trust and settle old disputes with dignity,1.0
multiculturalism,PRO,multinationality in a single state should necessarily comprise the right to express and exercise national identity even by minorities,1.0
subsidize poor communities,PRO,Safety nets enable households to make productive investments in their future that they may otherwise miss,1.0
atheism,CON,acknowledgment of God or the gods is a major factor in motivating people towards moral behavior,1.0
wind power,PRO,Wind energy is a clean energy source,1.0
the use of affirmative action,CON,Types of affirmative action that give preference to individuals solely based on their race or gender should not be permitted,-1.0
atheism,PRO,The combination of attributes which God may be asserted to have are logically contradictory,-1.0
all nations have a right to nuclear weapons,CON,Nuclear proliferation increases the chance of inter-state nuclear conflict,-1.0
the blockade of Gaza,PRO,What is going on in Gaza is a humanitarian catastrophe,-1.0
the use of affirmative action,CON,Affirmative action is counter-productive,-1.0
the use of affirmative action,CON,Affirmative action hinders reconciliation,-1.0
build hydroelectric dams,CON,Resettlement adds to the social costs of the dams,-1.0
unleash the free market,PRO,"left to its devices, the market will adjust efficiently",1.0
Israel's 2008-2009 military operations against Gaza,PRO,"If there is no rocket fire at Israel, there won't be Israeli attacks on Gaza",
unleash the free market,PRO,Allowing individuals to act without any restrictions will produce the best results,1.0
democratization,CON,democracy is a façade legitimizing the rule of a particular elite,-1.0
partial birth abortions,PRO,"deliberate abortions are placed in the ""same moral category"" as killing an innocent adult human being",-1.0
build hydroelectric dams,CON,Dams can also flood various ecosystems on land and may cause extinctions,-1.0
intellectual property rights,PRO,the current (international) copyright system undermines its own goal,-1.0
intellectual property rights,PRO,Patents are obstructing research,-1.0
intellectual property rights,CON,Intellectual property laws encourage fair trading which would contribute to economic and social development,1.0
governments should choose open source software,PRO,"The OSS development approach has helped produce reliable, high quality software",1.0
gambling,PRO,"Given the large amounts of currency handled within a casino, both patrons and staff may be tempted to cheat and steal",-1.0
gambling,PRO,most legal jurisdictions limit gambling,-1.0
the sale of violent video games to minors,PRO,violence in games hardens children to unethical acts,-1.0
partial birth abortions,PRO,The human fetus is a person and therefore has a right to life,1.0
only teach abstinence for sex education in schools,CON,education on condom use reduces behaviors that increase the risk of breakage and slippage,1.0
the sale of violent video games to minors,CON,violent games affect students positively and not negatively,1.0
build hydroelectric dams,CON,New dams mean very elevated social and environmental costs,-1.0
build hydroelectric dams,PRO,"Among sources of renewable energy, hydroelectric plants have the advantages of being long-lived",1.0
build hydroelectric dams,PRO,"Renewable energy technologies generally contribute to world energy security, reducing dependence on fossil fuel resources",1.0
subsidize poor communities,PRO,"the rich exploit the poor or otherwise gain unfair benefits, and thus should return some of those benefits",1.0
Israel's 2008-2009 military operations against Gaza,CON,The disproportionate and excessive use of force displayed by the Israeli government has resulted in numerous casualties,-1.0
advertising,CON,Advertising is a powerful educational tool capable of reaching and motivating large audiences,1.0
unleash the free market,PRO,authority over the economy leads to totalitarianism,-1.0
freedom of speech,PRO,some forms of expression can be legitimately prohibited by law because they are very offensive,-1.0
barrier methods of contraception,PRO,using condoms during sex is morally contraceptive and thus a sin,-1.0
only teach abstinence for sex education in schools,PRO,abstinence is the only guaranteed way of avoiding unwanted pregnancies and contraction of STDs,1.0
have children,PRO,Abstinence from reproduction is seen as an altruistic choice,1.0
the monarchy,PRO,monarchy is unfair and elitist,-1.0
the blockade of Gaza,CON,the importation curbs are in place to pressure Hamas,1.0
gambling,CON,it is economically beneficial for a state to allow and support gambling institutions,1.0
build hydroelectric dams,CON,"lower water ﬂow and alterations in the rainfall regime, could reduce total energy production",-1.0
build hydroelectric dams,CON,Hydroelectric power is now more difficult to site in developed nations,-1.0
gambling,PRO,There is a positive relationship between casinos and crime,-1.0
democratization,CON,Democracy in general is criticized for ignoring the rights of the minority,-1.0
the blockade of Gaza,PRO,the blockade actually strengthens Hamas's grip on the economy and on Gaza,-1.0
the sale of violent video games to minors,CON,"aggressive children tend to select more violent video games, not the inverse",
the sale of violent video games to minors,CON,Exposure alone to media violence does not cause a child to commit crimes,1.0
subsidize poor communities,CON,"the welfare state has produced a generation of dependents who, instead of working, rely solely upon the state for income",-1.0
unleash the free market,PRO,monopoly can only come about through government intervention,-1.0
the sale of violent video games to minors,PRO,A correlation between violent content conveyed through media (including videogames) and violent or aggressive behavior has been shown,-1.0
the one-child policy of the republic of China,PRO,only children are higher in achievement motivation,1.0
gambling,PRO,pathological gambling is an addiction similar to chemical addiction,-1.0
unleash the free market,CON,"a centrally planned economy can provide public goods which would not have been available at all, or might require explicit government provision, in a market economy",1.0
partial birth abortions,PRO,abortion is wrong because it deprives the embryo of a valuable future,-1.0
freedom of speech,CON,No human right is more basic than freedom of expression,1.0
freedom of speech,CON,"there ought to exist the fullest liberty of professing and discussing, as a matter of ethical conviction, any doctrine, however immoral it may be considered",1.0
intellectual property rights,CON,Intellectual property laws give statutory expression to the moral and economic rights of creators in their creations,1.0
barrier methods of contraception,PRO,a man who grows accustomed to the use of contraceptive methods may forget the reverence due to a woman,-1.0
advertising,PRO,Advertising creates artificiality,-1.0
partial birth abortions,CON,Abortion is deemed a fundamental right,1.0
unleash the free market,PRO,efficiency is best achieved through a market economy,1.0
the use of affirmative action,CON,"affirmative action is racial division, not racial reconciliation",-1.0
the sale of violent video games to minors,CON,violence in video games is not causally linked with aggressive tendencies,1.0
atheism,CON,There is evidence for the existence of a God,1.0
subsidize poor communities,PRO,Higher levels of economic inequality tend to intensify social hierarchies and generally degrade the quality of social relations,-1.0
endangered species,PRO,rapid rates of biodiversity loss threatens the sustained well-being of humanity,-1.0
endangered species,PRO,wealth of biodiversity is important for future generations,1.0
the one-child policy of the republic of China,CON,China's birth control policy is thought to have been a significant contribution to the gender imbalance in mainland China,-1.0
unleash the free market,CON,modern developments in information technology open up the possibility of a planning system that could outperform the market in terms of efficiency,1.0
only teach abstinence for sex education in schools,PRO,"a morality based on sex only within the bounds of marriage is ""healthy and constructive",1.0
wind power,PRO,wind farms are necessary to meet current and future energy needs,1.0
the one-child policy of the republic of China,CON,China's birth control policy contributes to forced abortions,-1.0
the blockade of Gaza,CON,the damage to the civilian population is not excessive in relation to the real and direct military advantage anticipated from the blockade,1.0
endangered species,PRO,"like humanity, the living environment as a whole has the same right to live and flourish",1.0
endangered species,PRO,diverse ecosystems actually resist invasion and disease better than their less diverse equivalents,1.0
the sale of violent video games to minors,PRO,Violent video games increase the violent tendencies among youth,-1.0
the blockade of Gaza,CON,the blockade is legal,1.0
unleash the free market,PRO,free markets have the potential to free states from the looming prospect of recurrent warfare,1.0
freedom of speech,PRO,Freedom of expression is subject to certain restrictions,-1.0
atheism,PRO,"a benevolent deity ought to create only happy creatures, not an imperfect world like the real world",-1.0
build hydroelectric dams,PRO,hydro plants can help allow for intermittency of other plants,1.0
the use of affirmative action,CON,any equalities achieved will entail future inequalities,-1.0
the right to bear arms,CON,Armed citizens play their role in crime control,1.0
