topic,stance,argument,argument_sentiment
the use of affirmative action,CON,Affirmative action policies engender animosity toward preferred groups,-1.0
all nations have a right to nuclear weapons,CON,public opinion is overwhelmingly opposed to nuclearization,-1.0
subsidize poor communities,CON,Redistributive policies have an adverse effect on investment and economic growth,-1.0
endangered species,PRO,The environment and all its inhabitants rely on biodiversity,1.0
all nations have a right to nuclear weapons,CON,nuclear weapons had become a source of extreme risk,-1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel's attacks represent a severe and massive violation of the International Humanitarian Law,-1.0
endangered species,PRO,The loss of native species is seen as a loss to ecotourism,-1.0
build hydroelectric dams,PRO,Renewable power technologies have significant environmental benefits,1.0
wind power,CON,the non-dispatchable nature of wind energy production can raise costs,-1.0
multiculturalism,CON,some forms of multiculturalism can divide people,-1.0
the monarchy,PRO,Monarchs lack accountability,-1.0
unleash the free market,PRO,Political freedom is the corollary of economic freedom,1.0
governments should choose open source software,PRO,"With free software, businesses can fit software to their specific needs by changing the software",1.0
raising the school leaving age to 18,CON,forced schooling perverts the victims’ natural inclination to grow and learn,-1.0
build hydroelectric dams,PRO,Hydroelectric plants have the advantage of being long-lived,1.0
build hydroelectric dams,CON,Hydropower generation is vulnerable to droughts,-1.0
all nations have a right to nuclear weapons,PRO,The effective prohibition on nuclear proliferation has been characterised as a form of technological apartheid,-1.0
build hydroelectric dams,CON,Hydroelectric power is now more difficult to site in developed nations,-1.0
have children,CON,Being childless is considered bizarre,-1.0
the monarchy,PRO,Monarchy encourages a feeling of dependency in many people who should instead have confidence in themselves and their fellow citizens,-1.0
enforce term limits on the legislative branch of government,PRO,The lack of mandatory limits to tenure is regarded as a dangerous defect,-1.0
atheism,CON,atheists are quick to believe in God in times of crisis,-1.0
endangered species,PRO,the right of all forms [of life] to live is a universal right,1.0
barrier methods of contraception,CON,the Catholic Church should support condoms used to prevent serious diseases such as AIDS,1.0
multiculturalism,PRO,the political function of rights is precisely to protect minorities from oppression by majorities,1.0
the use of performance enhancing drugs in professional sports,CON,The extremely dangerous side-effects from anabolica are admitted,-1.0
barrier methods of contraception,CON,Condoms  prevent sexually transmitted infections,1.0
the use of affirmative action,PRO,Motivation for affirmative action policies is to redress the effects of past discrimination,1.0
the right to bear arms,CON,Americans have an individual right described in the Second Amendment to possess firearms,1.0
national service,CON,conscription would not provide adequate protection for the rights of conscientious objectors,-1.0
austerity measures,PRO,policy makers consistently underestimated the disastrous effects of rigid spending cuts on economic growth,-1.0
democratization,CON,democracy leads to chaos,-1.0
advertising,PRO,"Advertising's cumulative cultural effects, unless quickly checked, will be responsible for destroying the world as we know it",-1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel disproportionately attacked civilians,-1.0
unleash the free market,CON,The unregulated market is seen as an impractical ideal,-1.0
subsidize poor communities,CON,Welfare makes an incentive to not find work,-1.0
the use of performance enhancing drugs in professional sports,CON,Many sports organizations have banned the use of performance enhancing drugs and have very strict rules and consequences for people who are caught using them,-1.0
burning the stars and stripes,PRO,"the nature of the flag entitles it to more protection under the law, rather than less",
unleash the free market,PRO,That government is best which governs not at all,
democratization,CON,a democratic government may not be providing the most good for the most amount of people,-1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel`s unproportionally all-out war on Hamas with a great number of fatalities is an unforgettable human tragedy,-1.0
only teach abstinence for sex education in schools,CON,studies of abstinence programs have not produced sufficient evidence to justify their widespread dissemination,-1.0
multiculturalism,PRO,cultural appreciation of ethnic and religious diversity promotes a greater willingness to tolerate political differences,1.0
make physical education compulsory,PRO,people die as a result of physical inactivity,-1.0
endangered species,PRO,More biologically diverse communities appear to be more productive,1.0
unleash the free market,PRO,the world can produce and consume more when free trade is allowed,1.0
endangered species,PRO,"like humanity, the living environment as a whole has the same right to live and flourish",1.0
leaking of military documents,CON,The right of governments to forbid the publication of properly categorized state secrets is recognised,1.0
endangered species,PRO,biological richness is an unmeasurable aesthetic that may be developed into commercial recreational attractions,1.0
leaking of military documents,PRO,government information should be available to the public,
the blockade of Gaza,CON,Israel's blockade of Gaza is a direct consequence of attacks launched from within the territory,1.0
the use of affirmative action,CON,"affirmative action is ""reverse discrimination",-1.0
build hydroelectric dams,CON,Dam failures have been some of the largest man-made disasters in history,-1.0
multiculturalism,CON,immigrants must always lose their own culture - that is the price of immigration,
multiculturalism,CON,A community of separate cultures is divisive,-1.0
atheism,PRO,The God hypothesis is considered inferior to evolution by natural selection as explanations for the complexity of life,-1.0
unleash the free market,PRO,the market is able to coordinate itself,1.0
build high rises for housing,PRO,Apartment blocks decrease the cost of municipal infrastructure,1.0
year round schooling,CON,children need the 2–3 months off to relax and also to take a break from other childhood stresses associated with school,1.0
the use of affirmative action,CON,all people should be treated similarly,
intellectual property rights,PRO,Ideas are not a legitimate subject of property rights,
the right to bear arms,CON,Gun laws generally have no significant effect on violent crime rates or suicide rates,-1.0
build hydroelectric dams,PRO,Many dams are multi-purpose dams,1.0
the monarchy,CON,The principal advantage of hereditary monarchy is the immediate continuity of leadership,1.0
year round schooling,PRO,students’ attitudes towards school did significantly increase as they spent more time on a year-round schedule,1.0
governments should choose open source software,PRO,A major advantage to open source code is the ability for a variety of different people to edit and fix problems and errors that have occurred,1.0
atheism,CON,God's existence can be demonstrated,1.0
atheism,CON,things cannot exist without creators,1.0
only teach abstinence for sex education in schools,PRO,teaching of contraception for school children presume premarital sex from the outset and somewhat imply that such things are morally permissible,-1.0
the right to bear arms,CON,gun control laws are ineffective in reducing gun-related accidents and crime,-1.0
all nations have a right to nuclear weapons,PRO,Nuclear disarmament would undermine deterrence,-1.0
the monarchy,PRO,The monarchy remains a symbol of imperialism and colonialism,-1.0
congressional earmarks,CON,Reducing earmarks does not reduce government spending,-1.0
intellectual property rights,CON,intellectual property rights are essential to maintaining economic growth,1.0
unleash the free market,CON,markets could go wrong,-1.0
atheism,PRO,all attempts to reconcile faith with science and reason are consigned to failure,-1.0
democratization,PRO,democracies tend to be wealthier than other countries,1.0
multiculturalism,CON,A liberal democracy cannot be multicultural,-1.0
have children,CON,having children is frequently viewed as a measure of success,1.0
the blockade of Gaza,PRO,deteriorating economic conditions could result in a derailment of the peace process,-1.0
atheism,PRO,evolution by natural selection can explain apparent design in nature,1.0
year round schooling,PRO,All children lose academic skills during the summer months,
governments should choose open source software,PRO,"A dependency on the future versions and upgrades for a proprietary software package can create vendor lock-in, entrenching a monopoly position",-1.0
the sale of violent video games to minors,CON,"aggressive children tend to select more violent video games, not the inverse",
have children,CON,raising children is a very important activity,1.0
atheism,PRO,we do not need God to explain things,-1.0
the blockade of Gaza,PRO,the blockade on Gaza is neither sustainable nor tenable in its present form,-1.0
the sale of violent video games to minors,PRO,exposure to graphic violence leads to desensitization to committing acts of violence in person,-1.0
democratization,CON,the will of the democratic majority may not always be in the best interest of all citizens within the country or beneficial to the future of the country itself,-1.0
barrier methods of contraception,PRO,Contraception is contrary to the good of the transmission of life,-1.0
unleash the free market,PRO,Any government intervention is seen as useless,-1.0
subsidize poor communities,PRO,Governmental redistribution of wealth improves social stability,1.0
all nations have a right to nuclear weapons,PRO,controlled nuclear proliferation may be beneficial for inducing stability,1.0
the monarchy,PRO,The system of monarchy since antiquity has contrasted with forms of democracy,-1.0
atheism,CON,there are insufficient grounds to assert authoritatively that any supreme being does not exist,-1.0
the monarchy,CON,Monarchy is a check against possible illegal action by politicians,1.0
the blockade of Gaza,CON,The situation in Gaza is the direct result of Hamas' rule and priorities,-1.0
unleash the free market,CON,The regulation of markets is widely acknowledged as important to safeguard social and environmental values,1.0
burning the stars and stripes,PRO,the Constitution allows states to prohibit the burning of the flag,1.0
the blockade of Gaza,CON,The absence of a blockade would allow the free passage of arms to the terror-embracing Hamas government,-1.0
wind power,PRO,The production of zero carbon electricity at the wind farm is expected to reduce emissions of carbon dioxide,1.0
only teach abstinence for sex education in schools,PRO,educating children about sex can encourage them to engage in it,-1.0
the use of affirmative action,CON,Affirmative action policies demonstrate an overt preference for applicants from particular backgrounds over better-qualified (or equally-qualified) candidates from other backgrounds,-1.0
subsidize poor communities,CON,Subsidies may distort markets,-1.0
advertising,PRO,"Advertising constructs a simulated world that offers fantastical escapism to consumers, rather than reflecting actual reality",-1.0
the blockade of Gaza,PRO,Israel is inflicting collective punishment on the Gaza population,-1.0
gambling,PRO,religious authorities generally disapprove of gambling,-1.0
atheism,PRO,the designer hypothesis immediately raises the larger problem of who designed the designer,-1.0
unleash the free market,CON,intervention is necessary to solve market-created externalities,1.0
burning the stars and stripes,CON,symbolic speech is protected by the First Amendment,1.0
burning the stars and stripes,CON,The First Amendment reaches non-speech acts,1.0
freedom of speech,PRO,"when a nation is at war, many things that might be said in time of peace are such a hindrance to its effort that their utterance will not be endured so long as men fight",-1.0
the use of affirmative action,PRO,Affirmative action policies redress imbalances and promote equality,1.0
fund education using a voucher scheme,PRO,a voucher system for public education would make public schools compete with one another thus making them more accountable and efficient,1.0
intellectual property rights,CON,Patents provide incentives for economically efficient research and development,1.0
partial birth abortions,PRO,The human fetus is a person and therefore has a right to life,1.0
the right to bear arms,PRO,Guns' only reason to exist is to harm others,-1.0
build hydroelectric dams,PRO,There are no harmful emissions associated with hydroelectric plant operation,1.0
atheism,PRO,Religions require beliefs that are irrational,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel has the right to take military action against attacks on locations where its civilians live,1.0
the use of truth and reconciliation commissions,PRO,the only way to effectively end violence is by granting amnesties,1.0
barrier methods of contraception,PRO,the Church should not and could not change its long-standing teaching,
the blockade of Gaza,PRO,inadequate amounts of goods are entering Gaza to meet Gaza's humanitarian and reconstruction needs,
the use of truth and reconciliation commissions,PRO,Transitional justice is one of the signaling mechanisms that governments can use to show that they are breaking away from past practices,1.0
the use of truth and reconciliation commissions,CON,many people would lie in order to keep themselves out of trouble while receiving amnesty for their crimes,
national service,PRO,"the draft ""does bring people from all quarters of our society together in the common purpose of serving",1.0
subsidize the growing of tobacco,PRO,Smoking is considered an immoral habit,-1.0
atheism,CON,all moral thought requires the assumption that God exists,1.0
unleash the free market,PRO,"free trade encourages economic interdependence between countries, reducing the likelihood of war",1.0
the right to bear arms,CON,most guns are in the hands of people who are unlikely to misuse them,1.0
the sale of violent video games to minors,PRO,violence in games hardens children to unethical acts,-1.0
leaking of military documents,PRO,The individual freedom of expression is essential to the well-being of society,1.0
enforce term limits on the legislative branch of government,PRO,contact with the affairs of state is one of the most corrupting of the influences to which men are exposed,-1.0
the right to bear arms,CON,Defensive use of guns is both common and effective in preventing injury and property loss,1.0
blasphemy,CON,"Blasphemy laws can be used to victimize non-members of, and dissident members of, the state religion",-1.0
unleash the free market,CON,a true laissez-faire economy would quickly become a conspiracy of businesses and industry against consumers,-1.0
the use of truth and reconciliation commissions,CON,"Truth commissions are sometimes criticised for allowing crimes to go unpunished, and creating impunity for serious human rights abusers",-1.0
the right to asylum,CON,refugees have much to bring to the countries in which they are resettled in terms of culture and labor,1.0
the right to asylum,PRO,immigrants have high rates of criminality,-1.0
the sale of violent video games to minors,CON,No evidence links video games to youth violence,1.0
open primaries,CON,With the open primary more voters become independent and are less likely to participate in the nominating or election processes,-1.0
unleash the free market,PRO,laissez-faire government policy is more desirable than government intervention in the economy,1.0
institute a mandatory retirement age,PRO,older workers are more expensive than younger ones,-1.0
atheism,PRO,"Natural selection and similar scientific theories are superior to a ""God hypothesis""—the illusion of intelligent design—in explaining the living world and the cosmos",1.0
governments should choose open source software,CON,One of the greatest barriers facing wide acceptance of open-source software relates to the lack of technical and general support,-1.0
the sale of violent video games to minors,PRO,media violence may increase aggression,-1.0
the use of affirmative action,CON,affirmative action has undesirable side-effects in addition to failing to achieve its goals,-1.0
advertising,PRO,Exposure to ultra-thin models in advertisements and magazine pictures produces depression,-1.0
leaking of military documents,CON,the right to freedom of speech is not absolute,-1.0
atheism,CON,"basic facts, such as humanity's existence, are best explained by the existence of God",1.0
burning the stars and stripes,PRO,States have a compelling interest in preserving a venerated national symbol,1.0
the monarchy,PRO,monarchy is expensive,-1.0
the use of affirmative action,PRO,The impetus towards affirmative action is to redress the disadvantages[REF][REF][REF][REF][REF] associated with overt historical discrimination,1.0
intellectual property rights,PRO,Patents divert resources from research and development to patent filing and lawsuits,-1.0
open primaries,PRO,the open primary allows nonpartisan or independent voters to participate in the nominating process,1.0
build hydroelectric dams,PRO,Hydro is  a low-cost source of electricity,1.0
freedom of speech,PRO,the freely expressed word can be a direct threat to other human rights,-1.0
national service,PRO,Mandatory military and national service are considered as ways of instilling maturity in young adults,1.0
national service,PRO,Fairness dictates that the sons and daughters of the white middle and upper classes share the burden of war,1.0
unleash the free market,PRO,people should make their own choices with their money,1.0
gambling,PRO,As debts build up people turn to other sources of money such as theft,-1.0
intellectual property rights,PRO,one cannot own information without owning other people,-1.0
democratization,PRO,the inclusive nature of democracy can lift the fear of difference that some believe is a license to kill,1.0
democratization,CON,democracies would be inherently unstable and chaotic in their policies due to the changing whims of the people,-1.0
have children,PRO,the extinction of humanity would be the best solution to the Earth's environmental problems,1.0
the one-child policy of the republic of China,PRO,the focus of China on population control helps provide a better health service for women,1.0
the use of affirmative action,CON,Affirmative action perpetuates racial division,-1.0
advertising,PRO,advertisements exploit the desires of a consumer,-1.0
make physical education compulsory,PRO,"Teaching non-traditional sports to students may provide the necessary motivation for students to increase their activity, and can help students learn about different cultures",1.0
democratization,CON,larger democracies are unable to allow a sufficient number of their citizens to have their voices heard,-1.0
boxing,PRO,boxing may cause DP,-1.0
collective bargaining rights claimed by trades unions,CON,Unions may serve the practical purpose of leveling the playing-field between workers and powerful oligopolies,1.0
freedom of speech,CON,Freedom of speech and of the press lay at the foundation of all democratic organisations,1.0
burning the stars and stripes,PRO,flag-burning is not constitutionally protected,-1.0
freedom of speech,PRO,there is no such thing as unlimited freedom,
wind power,PRO,Wind power is a proven and reliable technology,1.0
only teach abstinence for sex education in schools,PRO,Abstinence is 100% effective in preventing pregnancy,1.0
the right to asylum,PRO,immigration threatens national identity,-1.0
unleash the free market,PRO,"the state often serves dominant business interests, distorting the market to their favor and thus leading to inefficient outcomes",-1.0
unleash the free market,PRO,"any attempt to implement central planning will result in more disorder, or a less efficient production and distribution of goods and services",-1.0
the blockade of Gaza,CON,the importation curbs are in place to pressure Hamas,1.0
the right to bear arms,CON,"laws which make it easier for law-abiding citizens to get a permit to carry a gun in public places, cause reductions in crime",1.0
subsidize poor communities,CON,The availability of government funds leads to tensions within the community,-1.0
the use of affirmative action,CON,affirmative action devalues the accomplishments of people who belong to a group it's supposed to help,-1.0
wind power,PRO,Wind turbines do not consume fuel or produce pollution during normal operation,1.0
multiculturalism,PRO,cultural differences within society are valuable and should be preserved,1.0
build hydroelectric dams,CON,"lower water ﬂow and alterations in the rainfall regime, could reduce total energy production",-1.0
multiculturalism,PRO,cultural diversity may be vital for the long-term survival of humanity,1.0
subsidize poor communities,CON,Welfare only breeds dependence on the government,-1.0
the monarchy,PRO,The laws of succession are held by some to be sexist,-1.0
all nations have a right to nuclear weapons,CON,nuclear holocaust could result in an end to human life,
the use of truth and reconciliation commissions,PRO,"Through a truth-seeking process, actors in a country are able to investigate past abuses. and seek redress for victims and their families",1.0
build hydroelectric dams,CON,"Large reservoirs required for the operation of hydroelectric power stations result in submersion of extensive areas upstream of the dams, destroying biologically rich and productive lowland",-1.0
unleash the free market,CON,the lack of perfect information and perfect competition in a free market is grounds for government intervention,1.0
multiculturalism,PRO,"the diversity of cultural expressions is a ""rich asset for individuals and societies",1.0
multiculturalism,CON,it is in the best interests of individuals and of humanity as a whole that all people adhere to a specific model for society,1.0
barrier methods of contraception,CON,Condoms are widely recommended for the prevention of sexually transmitted diseases,1.0
blasphemy,PRO,freedom of speech ends when sacred values are offended,-1.0
the blockade of Gaza,PRO,The situation in Gaza is unsustainable and unacceptable,-1.0
boxing,CON,the referee may stop the contest if he believes that one participant cannot defend himself due to injury,
the blockade of Gaza,CON,Israel is entirely within its rights to prevent Hamas from linking with groups suspected of supplying arms and money to terrorists,1.0
gambling,PRO,gamblers persist in gambling even after repeated losses,-1.0
all nations have a right to nuclear weapons,PRO,"the greater the threat of mutual destruction, the safer the world would be",1.0
re-engage with Myanmar,CON,the military regime in Burma is one of the world's most repressive and abusive regimes,-1.0
the use of performance enhancing drugs in professional sports,CON,"with doping legal, all competitive athletes would be compelled to use drugs, and the net effect would be a level playing field but with widespread health consequences",-1.0
Holocaust denial,PRO,Holocaust denial is the worst form of racism,-1.0
multiculturalism,CON,Multiculturalism and immigration lead to adaptation problems,-1.0
freedom of speech,PRO,The freedom of speech and of the press does not confer an absolute right to express without any responsibility,-1.0
national service,CON,Considerable savings in defence  spending from abolishing the draft are expected,1.0
freedom of speech,PRO,freedom of expression is not absolute and can be limited under certain situations,
the monarchy,PRO,Monarchy devalues intellect and achievement,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel's right to defend itself against attacks from Gaza is recognised,1.0
subsidize the growing of tobacco,PRO,"When resources are put into tobacco production, they are taken away from food production",-1.0
the one-child policy of the republic of China,PRO,"overpopulation has been blamed for a variety of issues, including increasing poverty",-1.0
burning the stars and stripes,PRO,it would be constitutional to ban flag-burning,1.0
advertising,PRO,"Advertisements take something that exists already in the world and they change it, forming a distorted reflection",-1.0
advertising,CON,Advertising is a powerful educational tool capable of reaching and motivating large audiences,1.0
all nations have a right to nuclear weapons,PRO,nuclear weapons contribute to stability at a strategic level,1.0
re-engage with Myanmar,CON,sanctions are designed to pressure the regime to enter into dialogue with the demcoracy movement,1.0
the one-child policy of the republic of China,CON,only children are spoiled,-1.0
multiculturalism,PRO,multiculturalism helps in bringing together immigrants and minorities in the country,1.0
partial birth abortions,CON,one must abort a fetus if the continuation of pregnancy might imperil the life of the woman,1.0
national service,PRO,"some service is better than none at all, bringing citizens in contact with their military",1.0
intellectual property rights,CON,"copyright remains the fundamental way by which authors, sculptors, artists, musicians and others can fund the creation of new works",1.0
build hydroelectric dams,CON,"The natural flow of silt down the river will be interrupted, affecting downstream ecosystems",
have children,PRO,procreation today is de facto child abuse,-1.0
the use of affirmative action,CON,Affirmative action programs have at best a negligible impact on the groups they are intended to assist,-1.0
the blockade of Gaza,CON,The stated purpose of the blockade was to pressure Hamas into ending the rocket attacks,1.0
all nations have a right to nuclear weapons,PRO,states must act in a way that ensures their security above all,
Israel's 2008-2009 military operations against Gaza,CON,the livelihoods and assets of tens of thousands of Gaza civilians have been affected,
governments should choose open source software,CON,Open source software will often be less usable,-1.0
advertising,PRO,Advertising increasingly invades public spaces,-1.0
the sale of violent video games to minors,PRO,"violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior",-1.0
unleash the free market,PRO,Protectionism creates poverty,-1.0
the use of performance enhancing drugs in professional sports,CON,former athletes bear the physical and mental scars of years of drug abuse,-1.0
national service,CON,the draft was simply anachronistic,-1.0
open primaries,CON,voters of one party sometimes vote in the other party's primary to nominate a candidate who will be easy for their favorite to beat,
Israel's 2008-2009 military operations against Gaza,PRO,Israel's right to self defence was acknowledged,1.0
build hydroelectric dams,CON,Reservoirs can also contribute to greenhouse gas emissions,-1.0
unleash the free market,CON,markets have inefficient outcomes,-1.0
barrier methods of contraception,PRO,Condoms impede the procreative aspect of the sexual act which is understood by the Church to have a deeply theological meaning,-1.0
multiculturalism,CON,multiculturalism obscures the social costs associated with large scale immigration,-1.0
gambling,CON,Various forms of online gambling are legal and regulated in many countries,1.0
subsidize poor communities,PRO,economic inequality invariably translates to political inequality,-1.0
advertising,PRO,"advertising has unjustly ""colonized"" public, discursive and psychic spaces",-1.0
atheism,PRO,The evidence allegedly proving the existence of God is insufficient,-1.0
the sale of violent video games to minors,PRO,violent games cause youth violence,-1.0
build hydroelectric dams,CON,dam construction requires the state to displace individual people,-1.0
the one-child policy of the republic of China,CON,"higher population density leads to more specialization and technological innovation, which in turn leads to a higher standard of living",1.0
housewives should be paid for their work,PRO,Care work is acknowledged as central to economic development and human well-being,1.0
the use of truth and reconciliation commissions,CON,abuses of human rights have gone unpunished under truth commissions,-1.0
advertising,PRO,With increasing force advertising makes itself comfortable in the private sphere so that the voice of commerce becomes the dominant way of expression in society,-1.0
the one-child policy of the republic of China,CON,China's birth control policy is thought to have been a significant contribution to the gender imbalance in mainland China,-1.0
year round schooling,PRO,working parents wish their children to be supervised,1.0
gambling,PRO,Pathological gambling is a common disorder that is associated with social costs,-1.0
atheism,PRO,atheism is not a recipe for despair but just the opposite,1.0
endangered species,PRO,wealth of biodiversity is important for future generations,1.0
the sale of violent video games to minors,CON,Video games develop the individual's intelligence,1.0
atheism,PRO,religion is nothing more than a social construct that primitive humans evolved,-1.0
subsidize poor communities,PRO,economic inequality contributes to crime,-1.0
unleash the free market,CON,the allocation of goods and services by a market is not efficient,-1.0
enforce term limits on the legislative branch of government,PRO,Lawmakers are in gridlock because of becoming locked into entrenched positions over time,-1.0
year round schooling,PRO,The year round schedule provides more opportunities for family vacations,1.0
atheism,PRO,evolution can explain the apparent design in nature,1.0
build hydroelectric dams,PRO,"Renewable energy technologies generally contribute to world energy security, reducing dependence on fossil fuel resources",1.0
democratization,CON,the concept of democracy as a constant process is flawed and detrimental,-1.0
subsidize poor communities,PRO,inequality is harmful for economic development,-1.0
gambling,PRO,"Given the large amounts of currency handled within a casino, both patrons and staff may be tempted to cheat and steal",-1.0
open primaries,CON,the open primary leaves the party nominations vulnerable to manipulation and dilution,-1.0
the sale of violent video games to minors,CON,some violent video games may actually have a prosocial effect in some contexts,1.0
all nations have a right to nuclear weapons,PRO,the significance of nuclear weapons is purely to deter war,1.0
the right to bear arms,CON,laws that forbid the carrying of arms .. disarm only those who are neither inclined nor determined to commit crimes,-1.0
the use of affirmative action,CON,Policies adopted as affirmative action have been criticised as a form of reverse discrimination,-1.0
governments should choose open source software,PRO,less costs of marketing and logistical services are needed for OSS,1.0
the monarchy,CON,A constitutional monarch with limited powers and non-partisan nature can provide a focus for national unity,1.0
all nations have a right to nuclear weapons,CON,new nuclear states often lack adequate organizational controls over their new weapons,-1.0
burning the stars and stripes,CON,Flag burning is protected speech under the First Amendment to the United States Constitution,1.0
freedom of speech,CON,an effort to limit the use of words of language is actually a form of restricting freedom of thought,-1.0
the use of affirmative action,CON,Affirmative action policies increase animosity toward preferred groups,-1.0
the creation of private universities in the UK,PRO,academics will only be able to challenge prevailing opinion if they are independent of government funding,1.0
freedom of speech,CON,The individual freedom of expression is essential to the well-being of society,1.0
wind power,PRO,the environmental effects of wind power are relatively minor,1.0
freedom of speech,CON,Freedom of expression is the lifeblood of any free and open society,1.0
make physical education compulsory,PRO,Exercise alone is a potential prevention method and/or treatment for mild forms of depression,1.0
the monarchy,CON,Social traditions or hierarchies are essential for social order,1.0
build hydroelectric dams,PRO,Investing in renewable energy can have significant dividends for our energy security,1.0
unleash the free market,CON,private sector decisions sometimes lead to inefficient macroeconomic outcomes which require active policy responses by the public sector,-1.0
barrier methods of contraception,CON,condoms are acceptable as a means of preventing AIDS,1.0
gambling,PRO,the social and economic consequences of casino gambling outweigh the initial revenue that may be generated,-1.0
burning the stars and stripes,PRO,States possess an interest in preserving the flag as a unique symbol of national identity and principles,1.0
wind power,PRO,Wind power has low ongoing costs,1.0
advertising,PRO,advertising frequently uses psychological pressure,-1.0
only teach abstinence for sex education in schools,CON,all abstinence programs are ineffective,-1.0
advertising,PRO,Ads are a detriment to society because they tell consumers that accumulating more and more possessions will bring them closer to self-actualization,-1.0
only teach abstinence for sex education in schools,CON,Abstinence-only sex education programs show an increase in the rates of pregnancy and STDs of a teenage population,-1.0
the sale of violent video games to minors,CON,No long-term relationship was found between playing violent video game and youth violence or bullying,1.0
multiculturalism,CON,"multiculturalism has shifted from tolerating multiple cultures to tolerating multiple value systems, which can be hostile to liberalism",-1.0
the sale of violent video games to minors,CON,Evidence for harmful effects of video game violence were inconclusive,
unleash the free market,CON,"Throughout the world, forces that many blame on free trade are eroding traditional ways of living and rural cultures",-1.0
subsidize the growing of tobacco,PRO,subsidies may distort the market and produce inefficiencies,-1.0
national service,CON,Months or years of service amongst the most fit and capable subtracts from the productivity of the economy,-1.0
collective bargaining rights claimed by trades unions,CON,Collective bargaining is regarded as a human right,1.0
the one-child policy of the republic of China,CON,Some parents may over-indulge their only child,-1.0
intellectual property rights,PRO,the patent monopoly..consists in protecting inventors..against competition for a period long enough to extort from the people a reward enormously in excess of the labor measure of their services,-1.0
barrier methods of contraception,PRO,"contraception ""contradicts the will of the Author of life [God",-1.0
the one-child policy of the republic of China,CON,The policy is controversial both within and outside of China,-1.0
the one-child policy of the republic of China,CON,The social pressure exerted by the one-child policy has affected the rate at which parents abandon undesirable children,-1.0
only teach abstinence for sex education in schools,CON,education on condom use reduces behaviors that increase the risk of breakage and slippage,1.0
barrier methods of contraception,PRO,condom-promotion programs encourage promiscuity,-1.0
atheism,CON,"all human experience and action (even the condition of unbelief, itself) is a proof for the existence of God",1.0
multiculturalism,PRO,Multicultural classrooms promote decision-making and critical thinking,1.0
build hydroelectric dams,PRO,hydroelectric plants produce much lower life-cycle emissions than other types of generation,1.0
Israel's 2008-2009 military operations against Gaza,CON,"Israel's attacks were ""more than a holocaust",-1.0
build the Keystone XL pipeline,CON,The pipeline's permit was based on a deficient environmental impact statement,-1.0
the one-child policy of the republic of China,PRO,Population control is necessary for economic growth and improved living standards,1.0
unleash the free market,CON,"negative externalities"") cannot effectively be regulated solely by the marketplace",-1.0
build hydroelectric dams,CON,In many reservoir construction projects people have to be moved and re-housed,-1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel's response was excessive,-1.0
barrier methods of contraception,CON,Proper use of condoms reduces contact and risk,1.0
the one-child policy of the republic of China,CON,"less intrusive options, including those that emphasized delay and spacing of births, could have achieved the same results over an extended period of time",1.0
Israel's 2008-2009 military operations against Gaza,PRO,Hamas has used terrorism for years against Israeli children,-1.0
boxing,CON,rule changes have made certain kinds of boxing deaths far rarer,
the right to asylum,CON,The plight of the boat people became an international humanitarian crisis,
freedom of speech,PRO,Freedom of speech does not allow a person to contempt the courts,
the monarchy,CON,A monarch can act as an effective intermediary between vaious levels of government and political parties,1.0
intellectual property rights,PRO,Patents may hinder innovation,-1.0
the one-child policy of the republic of China,CON,there is no correlation between population density and poverty and starvation,1.0
have children,PRO,the birth of a new person always entails nontrivial harm to that person,-1.0
intellectual property rights,PRO,Patents give rise to troll entities,-1.0
democratization,PRO,democracy would bring peace,1.0
democratization,CON,Democracy in general is criticized for ignoring the rights of the minority,-1.0
all nations have a right to nuclear weapons,CON,most states are not in a position to safely guard against nuclear use,
have children,PRO,it is inherently immoral to bring people into the world,-1.0
the one-child policy of the republic of China,CON,only children have aversive social skills,-1.0
blasphemy,PRO,"The right to freedom of thought and expression, sanctioned by the Declaration of the Rights of Man, cannot imply the right to offend the religious sentiment of believers",-1.0
the use of affirmative action,PRO,Racial stratification continues to occur,
multiculturalism,CON,recognition and rights accorded to specific groups may interfere with the state's need to establish a cohesive identity,-1.0
subsidize the growing of tobacco,PRO,Cigarette smoking produces substantial health-related economic costs to society,-1.0
democratization,CON,democracy is ineffective in preventing war,-1.0
re-engage with Myanmar,CON,Burma's rulers continue to defy the world's just demand to stop their vicious persecution,-1.0
the right to asylum,CON,the opposition to high levels of immigration by refugees is based on racism,-1.0
austerity measures,PRO,Austerity programs tend to have an adverse impact on the poorest segments of the population,-1.0
atheism,PRO,"God cannot exist with, or would want to prevent, all evils",-1.0
blasphemy,CON,The blasphemy law is now a dead letter,-1.0
atheism,PRO,there are no good reasons and no credible grounds for believing that gods exist,-1.0
freedom of speech,CON,democracy will not be true to its essential ideal if those in power are able to manipulate the electorate by withholding information and stifling criticism,-1.0
build hydroelectric dams,CON,building large dams and reservoirs often involves displacing people and wildlife,-1.0
